Player Name,Team Name,Price,Year
Priyam Garg,Sunrisers Hyderabad,1.9 crore,2020
Ranesh Silva,Sunrisers Hyderabad,1.9 crore,2020
Wriddhiman saha,Sunrisers Hyderabad,1.2 crore,2020
Shreevats goswami,Sunrisers Hyderabad,1 crore,2020
Mohammad nabi,Sunrisers Hyderabad,1 crore,2020
Basil thampi,Sunrisers Hyderabad,0.95 crore,2020
Abhishek sharma,Sunrisers Hyderabad,0.55 crore,2020
Billy stanlake,Sunrisers Hyderabad,0.5 crore,2020
Fabian Allen,Sunrisers Hyderabad,0.5 crore,2020
Shahbaz nadeem,Sunrisers Hyderabad,0.5 crore,2020
Sandeep sharma,Sunrisers Hyderabad,0.3 crore,2020
Abdul Samad,Sunrisers Hyderabad,0.2 crore,2020
Ryan John,Sunrisers Hyderabad,0.2 crore,2020
Saad Bin Zafar,Sunrisers Hyderabad,0.2 crore,2020
Ms dhoni,Chennai Super Kings,15 crore,2021
Deepak chahar,Chennai Super Kings,14 crore,2021
Moeen Ali,Chennai Super Kings,7 crore,2021
Ravindra jadeja,Chennai Super Kings,7 crore,2021
Dwayne bravo,Chennai Super Kings,6.75 crore,2021
Sam Curran,Chennai Super Kings,5.5 crore,2021
Shardul thakur,Chennai Super Kings,2.6 crore,2021
Ambati rayudu,Chennai Super Kings,2.2 crore,2021
Suresh Raina,Chennai Super Kings,2 crore,2021
Ruturaj Gaikwad,Chennai Super Kings,0.2 crore,2021
Faf du Plessis,Chennai Super Kings,0 crore,2021
Rishabh pant,Delhi Capitals,16 crore,2021
Shimron hetmyer,Delhi Capitals,7.75 crore,2021
Ravichandran ashwin,Delhi Capitals,7.6 crore,2021
Shreyas iyer,Delhi Capitals,7 crore,2021
Tom curran,Delhi Capitals,5.25 crore,2021
Shikhar dhawan,Delhi Capitals,5.2 crore,2021
Marcus Stoinis,Delhi Capitals,4.8 crore,2021
Amit mishra,Delhi Capitals,2 crore,2021
Chris woakes,Delhi Capitals,1.5 crore,2021
Prithvi shaw,Delhi Capitals,1.20 crore,2021
Avesh khan,Delhi Capitals,0.7 crore,2021
Anrich Nortje,Delhi Capitals,0.5 crore,2021
Praveen dubey,Delhi Capitals,0.2 crore,2021
Ajinkya rahane,Delhi Capitals,0 crore,2021
Jhye Richardson,Kings XI Punjab,14 crore,2021
Lokesh rahul,Kings XI Punjab,11 crore,2021
Riley Meredith,Kings XI Punjab,8 crore,2021
Shahrukh Khan,Kings XI Punjab,5.25 crore,2021
Mohammad shami,Kings XI Punjab,4.8 crore,2021
Deepak hooda,Kings XI Punjab,4.2 crore,2021
Nicholas Pooran,Kings XI Punjab,4.2 crore,2021
Chris gayle,Kings XI Punjab,2 crore,2021
Simran singh,Kings XI Punjab,0.6 crore,2021
Murugan ashwin,Kings XI Punjab,0.2 crore,2021
Arshdeep singh,Kings XI Punjab,0.2 crore,2021
Patrick cummins,Kolkata Knight Riders,15.5 crore,2021
Andre russell,Kolkata Knight Riders,8.5 crore,2021
Dinesh karthik,Kolkata Knight Riders,7.4 crore,2021
Eoin morgan,Kolkata Knight Riders,5.25 crore,2021
Varun chakravarthy,Kolkata Knight Riders,4 crore,2021
Nitish rana,Kolkata Knight Riders,3.4 crore,2021
Shakib al hasan,Kolkata Knight Riders,3.2 crore,2021
Harbhajan singh,Kolkata Knight Riders,2 crore,2021
Shubman gill,Kolkata Knight Riders,1.8 crore,2021
Rahul tripathi,Kolkata Knight Riders,0.6 crore,2021
Prasidh krishna,Kolkata Knight Riders,0.2 crore,2021
Rohit sharma,Mumbai Indians,15 crore,2021
Hardik pandya,Mumbai Indians,11 crore,2021
Krunal pandya,Mumbai Indians,8.8 crore,2021
Jasprit bumrah,Mumbai Indians,7 crore,2021
Ishan kishan,Mumbai Indians,6.2 crore,2021
Kieron Pollard,Mumbai Indians,5.4 crore,2021
Suryakumar yadav,Mumbai Indians,2.8 crore,2021
Trent boult,Mumbai Indians,2.2 crore,2021
Chris lynn,Mumbai Indians,2 crore,2021
Rahul chahar,Mumbai Indians,1.9 crore,2021
Marco Jansen,Mumbai Indians,0.2 crore,2021
Mayank agarwal,Punjab Kings,1 crore,2021
Chris morris,Rajasthan Royals,16.25 crore,2021
Ben stokes,Rajasthan Royals,12.5 crore,2021
Sanju samson,Rajasthan Royals,8 crore,2021
Shivam dube,Rajasthan Royals,4.4 crore,2021
Jos Buttler,Rajasthan Royals,4.4 crore,2021
Rahul tewatia,Rajasthan Royals,3 crore,2021
Riyan parag,Rajasthan Royals,1.3 crore,2021
Chetan Sakariya,Rajasthan Royals,1.2 crore,2021
Mustafizur rahman,Rajasthan Royals,1 crore,2021
